folder,collection_item_id,instance_id,release_id,artist,title,year,country,label,catno,genre,style,format,img,img_full
Personal,7193851,2107843190,7193851,Bread,The Best Of Bread,1973,US,Elektra,EKS-75056,Rock,Pop Rock,"Vinyl, LP, Compilation, Stereo",images/thumbs/fe021f716ff3c6cb.jpeg,images/fe021f716ff3c6cb.jpeg
Personal,2042792,2107841793,2042792,Brian Auger's Oblivion Express,Straight Ahead,1974,US,RCA Victor,APL1-0454,Jazz,Jazz-Rock,"Vinyl, LP, Album, Stereo",images/thumbs/7b676545e28a104c.jpeg,images/7b676545e28a104c.jpeg
Personal,8712484,2089489432,8712484,Brothers Johnson,Right On Time,1977,US,A&M Records,SP-4644,Funk / Soul,Soul,"Vinyl, LP, Album, Stereo",images/thumbs/73e6e2406b617f98.jpeg,images/73e6e2406b617f98.jpeg
Personal,2914833,2103155307,2914833,Buddy Rich,Buddy Rich Plays And Plays And Plays,1977,US,RCA,CPL1-2273,Jazz,Big Band,"Vinyl, LP, Album, Stereo",images/thumbs/f401cfd340c7a737.jpeg,images/f401cfd340c7a737.jpeg
Personal,15833740,2105946983,15833740,Buffalo Springfield,Last Time Around,1968,US,ATCO Records,SD33-256,Rock,Folk Rock,"Vinyl, LP, Album, Reissue",images/thumbs/fc8aaf3dcb707dd6.jpeg,images/fc8aaf3dcb707dd6.jpeg
Personal,1306381,2089487335,1306381,Buffalo Springfield,Retrospective The Best Of Buffalo Springfield,1969,US,ATCO Records,SD 33-283,Rock,Folk Rock,"Vinyl, LP, Compilation, Stereo",images/thumbs/350ce67e36fe5982.jpeg,images/350ce67e36fe5982.jpeg
Personal,10879382,2107970929,10879382,Buffy Sainte-Marie,The Best Of Buffy Sainte-Marie,1970,US,Vanguard,VSD-3/4,Rock,Folk Rock,"2x, Vinyl, LP, Compilation",images/thumbs/14c91e89b5bd796f.jpeg,images/14c91e89b5bd796f.jpeg
Personal,2754865,2103145972,2754865,The Byrds,"The Best Of The Byrds   Greatest Hits, Volume II",1972,US,Columbia,KC 31795,Rock,Folk Rock,"Vinyl, LP, Compilation",images/thumbs/6084a9a707c08b54.jpeg,images/6084a9a707c08b54.jpeg
Personal,14905437,2107838454,14905437,The Byrds,Turn! Turn! Turn!,1965,US,Columbia,CL 2454,Rock,Folk Rock,"Vinyl, LP, Album, Mono",images/thumbs/8c69c8c2f504f967.jpeg,images/8c69c8c2f504f967.jpeg
Personal,10200833,2096297540,10200833,The Byrds,Younger Than Yesterday,1967,US,Columbia,CS 9442,Rock,Folk Rock,"Vinyl, LP, Album, Stereo",images/thumbs/6f6340d8e65ce76d.jpeg,images/6f6340d8e65ce76d.jpeg
Personal,1871139,2105965368,1871139,Carole King,Really Rosie,1975,US,Ode Records (2),SP 77027,Rock,Soundtrack,"Vinyl, LP, Album, Stereo",images/thumbs/6c7c150572cf28d2.jpeg,images/6c7c150572cf28d2.jpeg
Personal,19543894,2089845058,19543894,The Cars,The Cars,1978,US,Elektra,6E-135,Rock,New Wave,"Vinyl, LP, Album, Stereo",images/thumbs/dd2ace5a2eba07f2.jpeg,images/dd2ace5a2eba07f2.jpeg
Personal,1878252,2107840773,1878252,Cat Mother And The All-Night Newsboys,The Street Giveth.. And The Street Taketh Away,1969,US,Polydor,24-4001,Rock,Blues Rock,"Vinyl, LP, Album, Stereo",images/thumbs/f55a668224460ae8.jpeg,images/f55a668224460ae8.jpeg
Personal,8809716,2105951458,8809716,Cat Stevens,Catch Bull At Four,1972,US,A&M Records,SP 4365,Rock,Acoustic,"Vinyl, LP, Album",images/thumbs/7fcaa52b57046db5.jpeg,images/7fcaa52b57046db5.jpeg
Personal,19865356,2096296462,19865356,Cat Stevens,Tea For The Tillerman,1970,US,A&M Records,SP 4280,Rock,Folk Rock,"Vinyl, LP, Album",images/thumbs/ae3bd0193ddac54e.jpeg,images/ae3bd0193ddac54e.jpeg
Personal,1993990,2107833659,1993990,Chanson,Chanson,1978,US,Ariola Records America,SW-50039,Funk / Soul,Funk,"Vinyl, LP, Album",images/thumbs/dc60e8f82d09eeb7.jpeg,images/dc60e8f82d09eeb7.jpeg
Personal,22042291,2105947799,22042291,Charley Pride,Country Feelin',1974,US,RCA Victor,APL1-0534,"Folk, World, & Country",Country,"Vinyl, LP, Album",images/thumbs/2781f9f985e65f45.jpeg,images/2781f9f985e65f45.jpeg
